id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,解放大道2048堤角小区,江岸,125,11525元/平米,3室2厅1厨1卫,中楼层 (共7层),108.46㎡,暂无数据,108.46㎡,板楼,东南,混合结构,其他,一梯三户,无,null,2023-04-27,商品房,2010-03-30,普通住宅,满五年,非共有,"
                                有抵押 5万元 业主自还
                              ",已上传房本照片,20230427wwJgA
2,东方帝园,江汉,220,9886元/平米,4室3厅1厨3卫,高楼层 (共11层),222.54㎡,复式,194.43㎡,板楼,东南,钢混结构,精装,一梯两户,有,null,2022-09-14,商品房,2018-06-12,普通住宅,满两年,共有,"
                                有抵押 70万元 工商银行 客户偿还
                              ",已上传房本照片,20200610Fo0yp
3,佳园小区(江岸),江岸,213,16615元/平米,3室2厅1厨2卫,中楼层 (共7层),128.2㎡,错层,116.57㎡,塔楼,南 北,钢混结构,简装,一梯两户,无,null,2023-02-10,商品房,2010-10-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20211119AScKp
4,万丰花园,江汉,198,14041元/平米,4室3厅1厨3卫,高楼层 (共6层),141.02㎡,复式,暂无数据,板楼,南 西南,钢混结构,其他,一梯两户,无,null,2023-04-25,商品房,2007-05-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,202301308u9W4
5,万景橘苑,江汉,228,19576元/平米,3室2厅1厨2卫,高楼层 (共32层),116.47㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,null,2022-08-07,商品房,2018-11-23,普通住宅,满两年,非共有,"
                                有抵押 50万元 兴业银行业主自还 业主自还
                              ",已上传房本照片,20220807EgUxS
6,香江花园四期,江汉,290,20460元/平米,3室2厅1厨2卫,高楼层 (共11层),141.74㎡,错层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,null,2022-04-15,商品房,2017-04-16,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,20220416QXjek
7,CBD楚世家,江汉,428,28976元/平米,4室2厅1厨2卫,高楼层 (共32层),147.71㎡,平层,116.6㎡,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,null,2020-08-01,商品房,2021-03-18,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,20210705jtQBr
8,国际百纳,江岸,179,18894元/平米,3室2厅1厨1卫,中楼层 (共45层),94.74㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,null,2023-04-19,商品房,2020-04-29,普通住宅,满两年,非共有,"
                                有抵押 45万元 建设 客户偿还
                              ",已上传房本照片,202210214UdAV
9,顶琇国际公馆,江汉,205,18879元/平米,3室2厅1厨2卫,中楼层 (共42层),108.59㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,三梯六户,有,null,2022-10-06,商品房,2016-05-06,普通住宅,满五年,非共有,"
                                有抵押 平安银行
                              ",已上传房本照片,20210302kdPIy
10,新华家园,江汉,160,18047元/平米,2室1厅1厨1卫,中楼层 (共22层),88.66㎡,平层,暂无数据,塔楼,东北,钢混结构,简装,两梯八户,有,null,2023-01-11,商品房,2010-05-21,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,20230217b7TW7
11,百步亭花园世博园,江岸,210,22468元/平米,2室2厅1厨1卫,高楼层 (共18层),93.47㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,null,2023-04-24,商品房,2017-05-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230424ctUtW
12,中海澳门佳园,江岸,162,30446元/平米,1室1厅1厨1卫,中楼层 (共29层),53.21㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯九户,有,null,2022-09-22,商品房,2021-05-20,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202209239pyAQ
13,远洋心汉口K4,江汉,126,16364元/平米,2室1厅1厨1卫,高楼层 (共49层),77㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯八户,有,null,2022-02-26,商品房,2020-07-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220226gpxyK
14,江花苑,江汉,147,13391元/平米,3室2厅1厨1卫,中楼层 (共18层),109.78㎡,平层,91.18㎡,塔楼,东,钢混结构,简装,两梯七户,有,null,2021-09-12,商品房,2010-04-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210915lSExg
15,中海澳门佳园,江岸,242,27884元/平米,2室1厅1厨1卫,中楼层 (共47层),86.79㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,三梯六户,有,null,2022-04-16,商品房,2021-06-25,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220420er0wO	
16,新华西美林公馆,江汉,130,20593元/平米,1室1厅1厨1卫,中楼层 (共15层),63.13㎡,平层,47.33㎡,板塔结合,东南,钢混结构,其他,两梯四户,有,null,2023-04-11,商品房,2009-11-02,普通住宅,满五年,非共有,"
                                有抵押 15万元 民生 业主自还
                              ",已上传房本照片,20230416tEeXX
