id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,other
1,宁静苑,武昌,190,23104,3室1厅1厨1卫,高楼层 (共6层),82.24,平层,65.792,板楼,南,混合结构,简装,一梯四户,无,70,2023/4/11,商品房,2016/8/16,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210605nNjqt
2,芷岸龙庭,洪山,143,15806,2室2厅1厨1卫,低楼层 (共33层),90.98,平层,72.784,板塔结合,南 北,钢混结构,精装,两梯四户,有,70,2023/4/14,限价商品房,2017/10/20,普通住宅,满五年,共有,无抵押,已上传房本照片,20230414JcilM
3,暨济春天园,硚口,188,17473,3室2厅1厨1卫,中楼层 (共22层),107.6,平层,86.08,塔楼,西南,钢混结构,精装,三梯十八户,有,70,2023/2/24,商品房,2013/1/30,普通住宅,满五年,共有,无抵押,已上传房本照片,20210514s6Gpf
4,保利香颂三期,汉阳,247,19805,3室2厅1厨2卫,中楼层 (共18层),125.02,平层,100.016,板楼,北 南,钢混结构,其他,两梯两户,有,70,2023/4/21,商品房,2021/5/17,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230422mLKJN
5,远洋心汉口御峰,江汉,156,15817,3室2厅1厨1卫,低楼层 (共48层),98.63,平层,78.904,板楼,南 北,钢混结构,毛坯,三梯五户,有,70,2023/2/18,商品房,2020/12/28,普通住宅,满两年,非共有,有抵押 7万元 业主自还,已上传房本照片,20210709Fgvl8
6,御景东方,江岸,90,10248,2室2厅1厨1卫,中楼层 (共18层),87.83,平层,70.264,板塔结合,东南,钢混结构,精装,两梯六户,有,70,2023/3/11,商品房,2009/12/9,普通住宅,满五年,共有,无抵押,已上传房本照片,20230317nqrkI
7,东方雅园三期,洪山,117,13282,3室2厅1厨1卫,中楼层 (共33层),88.09,平层,70.472,板楼,西南,钢混结构,精装,两梯四户,有,70,2023/3/21,拆迁还建房,2018/6/25,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230321Bq01F
8,恋湖家园一期,东西湖,100,8757,3室2厅1厨2卫,低楼层 (共7层),114.2,平层,91.36,板楼,南 北,混合结构,毛坯,一梯两户,无,70,2021/10/31,商品房,2004/11/2,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211031Nwy9U
9,金融街壹号,江岸,73,18958,1室1厅1厨1卫,中楼层 (共46层),38.77,平层,31.016,板楼,南,钢混结构,毛坯,三梯十四户,有,70,2022/4/5,商品房,2020/7/31,普通住宅,满两年,非共有,无抵押,已上传房本照片,20220410NrrqY
10,长城坐标城,东湖高新,200,21594,2室1厅1厨1卫,中楼层 (共18层),92.62,平层,74.096,板塔结合,南 北,钢混结构,简装,一梯两户,有,70,2023/3/17,商品房,2022/8/9,普通住宅,未满两年,共有,无抵押,已上传房本照片,20221022ELEa7
