id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,宁静苑,武昌,190,23104元/平米,3室1厅1厨1卫,高楼层 (共6层),82.24㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯四户,无,null,2023-04-11,商品房,2016-08-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210605nNjqt
2,芷岸龙庭,洪山,143.8,15806元/平米,2室2厅1厨1卫,低楼层 (共33层),90.98㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,null,2023-04-14,限价商品房,2017-10-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230414JcilM
3,暨济春天园,硚口,188,17473元/平米,3室2厅1厨1卫,中楼层 (共22层),107.6㎡,平层,89.22㎡,塔楼,西南,钢混结构,精装,三梯十八户,有,null,2023-02-24,商品房,2013-01-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210514s6Gpf
4,保利香颂三期,汉阳,247.6,19805元/平米,3室2厅1厨2卫,中楼层 (共18层),125.02㎡,平层,暂无数据,板楼,北 南,钢混结构,其他,两梯两户,有,null,2023-04-21,商品房,2021-05-17,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230422mLKJN
5,远洋心汉口御峰,江汉,156,15817元/平米,3室2厅1厨1卫,低楼层 (共48层),98.63㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,三梯五户,有,null,2023-02-18,商品房,2020-12-28,普通住宅,满两年,非共有,"
                                有抵押 7万元 业主自还
                              ",已上传房本照片,20210709Fgvl8
6,御景东方,江岸,90,10248元/平米,2室2厅1厨1卫,中楼层 (共18层),87.83㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯六户,有,null,2023-03-11,商品房,2009-12-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230317nqrkI
7,东方雅园三期,洪山,117,13282元/平米,3室2厅1厨1卫,中楼层 (共33层),88.09㎡,平层,暂无数据,板楼,西南,钢混结构,精装,两梯四户,有,null,2023-03-21,拆迁还建房,2018-06-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230321Bq01F
8,恋湖家园一期,东西湖,100,8757元/平米,3室2厅1厨2卫,低楼层 (共7层),114.2㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,无,null,2021-10-31,商品房,2004-11-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20211031Nwy9U
9,金融街壹号,江岸,73.5,18958元/平米,1室1厅1厨1卫,中楼层 (共46层),38.77㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,三梯十四户,有,null,2022-04-05,商品房,2020-07-31,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220410NrrqY
10,长城坐标城,东湖高新,200,21594元/平米,2室1厅1厨1卫,中楼层 (共18层),92.62㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,有,null,2023-03-17,商品房,2022-08-09,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,20221022ELEa7
